The Shawshank Redemption	9.2 28341469
Amores perros	8.1 ?
Jaws	8.1 260000000
A Beautiful Mind	8.1 170742341
Million Dollar Baby	8.1 100492203
Stand by Me	8.1 52287414
There Will Be Blood	8.1 40222514
Ben-Hur	8.1 74000000
Notorious	8.1 36843682
The Princess Bride	8.1 30857814
The King's Speech	8.1 ?
Persona	8.1 ?
Donnie Darko	8.1 1270522
Gandhi	8.1 52767889
The Bourne Ultimatum	8.1 227471070
Fanny och Alexander	8.1 ?
Twelve Monkeys	8.1 57141459
The Terminator	8.1 ?
81/2	8.1 ?
The Night of the Hunter	8.0 ?
The Big Sleep	8.0 ?
In the Name of the Father	8.0 25096862
Groundhog Day	8.0 70906973
Incendies	8.0 2071334
Mou gaan dou	8.0 ?
Dog Day Afternoon	8.0 50000000
La strada	8.0 ?
Who's Afraid of Virginia Woolf?	8.0 28000000
The Graduate	8.0 104945305
The Killing	8.0 ?
The Hustler	8.0 ?
Kaze no tani no Naushika	8.0 ?
Stalag 17	8.0 ?
Rocky	8.0 117235147
Hachi: A Dog's Tale	8.0 ?
Barry Lyndon	8.0 ?
Lagaan: Once Upon a Time in India	8.0 909043
Black Swan	8.0 106954678
Stalker	8.0 ?
Salinui chueok	8.0 ?
Roman Holiday	8.0 ?
Yip Man	8.0 ?
Festen	8.0 ?
The Man Who Shot Liberty Valance	8.0 ?
Slumdog Millionaire	8.0 141319928
La haine	8.0 280859
Pirates of the Caribbean: The Curse of the Black Pearl	8.0 305413918
Monsters, Inc.	8.0 289916256
Harry Potter and the Deathly Hallows: Part 2	8.0 381011219
Before Midnight	8.0 8114627
A Christmas Story	8.0 20605209
Tenkû no shiro Rapyuta	8.0 ?
Before Sunrise	8.0 5535405
Underground	8.0 171082
Le scaphandre et le papillon	8.0 ?
Prisoners	8.0 61002302
Rope	8.0 ?
Anatomy of a Murder	8.0 ?
Trois couleurs: Rouge	8.0 ?
Fa yeung nin wa	8.0 ?
The Truman Show	8.0 125618201
Shutter Island	8.0 128012934
Per un pugno di dollari	8.0 ?
The Manchurian Candidate	8.0 65955630
The Exorcist	8.0 232906145
Life of Pi	8.0 124987023
La dolce vita	8.0 ?
Star Trek	8.0 257730019
Tropa de Elite 2 - O Inimigo Agora É Outro	8.0 ?
The Help	8.0 169708112
Okuribito	8.0 ?
Jurassic Park	8.0 402453882
